cluster,sub_dept,transactions,exposure_pct
8,400 GARDEN PEST CONTROL,61843,5.539834440081947
8,400 DECKING TIMBER,1380,0.1236190276557264
8,400 WATER SAVING AGENT,1303,0.11672144422855905
8,401 SITE MANAGEMENT,1292,0.11573607516753513
8,400 FUEL CONTAINERS,1271,0.11385491605103495
8,401 LADDERS,1248,0.11179459892343951
8,401 METAL SECTIONS,1127,0.10095553925217654
8,400 GUTTER GUARD,1069,0.09575995693041413
8,400 BATTERIES AND CHARGERS,1029,0.09217679670850902
8,401 LAUNDRY AIDS,999,0.0894894265420802
8,400 MDF BOARDS,945,0.08465216024250828
8,400 SURFACE WATER DRAINAGE,919,0.08232310609826995
8,400 PANELS,868,0.07775457681534094
8,401 WORKSHOP VAC,830,0.07435057460453108
7,400 VEGETABLES,198080,17.743809418874118
7,402 TOOL BAGS AND BELTS,364,0.032606758019336525
7,401 PET DOORS,338,0.030277703875098202
6,400 VEGETABLES,198080,17.743809418874118
6,400 ANNUAL FLOWERING,137258,12.295435143456299
6,400 FERTILISERS,125259,11.220576655890312
6,401 PLANT SUPPORT,115812,10.374323790481872
6,400 PROPAGATION,114518,10.258408557303241
6,400 AUTO ACCESSORIES,678,0.06073456576129166
6,400 MASONRY TOOLS,677,0.06064498675574403
6,402 HOME AUTOMATION PRODUCTS,644,0.05768887957267231
6,402 DOWNLIGHTS,617,0.05527024642288637
6,402 AUTO TOOLS,573,0.051328770178790735
6,400 FURNITURE LEGS,566,0.050701717139957345
6,400 COATING AND COMPOUNDS,545,0.04882055802345715
6,401 DOOR CHIMES AND SENSORS,529,0.04738729393469512
6,401 FLOORING TRIM,462,0.04138550056300405
6,401 STEEL REINFORCING,436,0.039056446418765725
6,401 CORDLESS HIGH VOLTAGE,404,0.03618991824124164
6,402 GARDEN AND POND LIGHTING,402,0.036010760230146384
6,402 TOOL BAGS AND BELTS,374,0.0335025480748128
5,400 PROPAGATION,114518,10.258408557303241
5,400 WOODWORKING AND ROTARY,709,0.06351151493326812
5,402 HOME AUTOMATION PRODUCTS,644,0.05768887957267231
5,401 TILES AND SHEETING,602,0.05392656133967194
5,400 WALL LIGHTS,588,0.052672455262005154
