PRIMARY_ID,SECONDARY_ID,PRIMARY_TRANSACTIONS,SECONDARY_TRANSACTIONS,PAIR_TRANSACTIONS,LIFT,segment
401 DOOR ACCESSORIES,400 PAINT PREPARATION,875,38570,24,0.7940425645394275,0
400 PAINT PREPARATION,401 DOOR ACCESSORIES,38570,857,24,0.810720238007,0
400 SHAVING,400 PAINT PREPARATION,694,38570,20,0.8342786310902967,0
400 PAINT PREPARATION,400 SHAVING,38570,685,20,0.8452399561703151,0
400 AUTO ACCESSORIES,400 PAINT PREPARATION,678,38570,20,0.8521326202292425,0
400 PAINT PREPARATION,400 AUTO ACCESSORIES,38570,678,20,0.8539666223844631,0
400 WOODWORKING AND ROTARY,400 PAINT PREPARATION,732,38570,23,0.9096144473677127,0
400 PAINT PREPARATION,400 WOODWORKING AND ROTARY,38570,709,23,0.9391223913584849,0
400 WALL SYSTEMS AND HARDWARE,400 PAINT PREPARATION,716,38570,24,0.9703732457709484,0
401 TOOLS AND ACCESSORIES,400 PAINT PREPARATION,708,38570,24,0.9813379152146877,0
400 PAINT PREPARATION,400 MASONRY TOOLS,38570,677,23,0.9835122237417514,0
400 PAINT PREPARATION,400 WALL SYSTEMS AND HARDWARE,38570,703,24,0.9883175589928861,0
401 FLOORING ADHESIVE,400 PAINT PREPARATION,701,38570,24,0.9911372952524949,0
400 PAINT PREPARATION,401 TOOLS AND ACCESSORIES,38570,698,24,0.9953971976676205,0
400 PAINT PREPARATION,401 FLOORING ADHESIVE,38570,689,24,1.0083994832685035,0
400 PAINT PREPARATION,400 WALL LIGHTS,38570,583,21,1.04277673837993,0
402 DOWNLIGHTS,400 PAINT PREPARATION,631,38570,23,1.0552104207181705,0
400 PAINT PREPARATION,402 DOWNLIGHTS,38570,617,23,1.0791536069257142,0
401 TILES AND SHEETING,400 PAINT PREPARATION,606,38570,23,1.0987422037510985,0
400 PAINT PREPARATION,401 TILES AND SHEETING,38570,602,23,1.1060428164006075,0
403 INDOOR BLINDS,400 PAINT PREPARATION,547,38570,21,1.1114055547998156,0
401 VANITY AND CABINETS,400 PAINT PREPARATION,588,38570,23,1.1323771691720503,0
400 PAINT PREPARATION,401 VANITY AND CABINETS,38570,575,23,1.1579787399533317,0
400 COATING AND COMPOUNDS,400 PAINT PREPARATION,545,38570,22,1.1660926755357233,0
400 PAINT PREPARATION,403 INDOOR BLINDS,38570,518,21,1.1736271013040525,0
400 PAINT PREPARATION,400 COATING AND COMPOUNDS,38570,529,22,1.203947650235033,0
400 BUDGET PAINT,400 PAINT PREPARATION,515,38570,22,1.2366763242220047,0
400 PAINT PREPARATION,400 BUDGET PAINT,38570,504,22,1.263667275742723,0
400 COLLATED FASTENER,400 PAINT PREPARATION,525,38570,23,1.2682624294726967,0
400 PAINT PREPARATION,400 COLLATED FASTENER,38570,509,23,1.3081292248981644,0
400 PAVING PAINT,400 PAINT PREPARATION,429,38570,20,1.3496255710411793,0
