PRIMARY_ID,SECONDARY_ID,PRIMARY_TRANSACTIONS,SECONDARY_TRANSACTIONS,PAIR_TRANSACTIONS,LIFT,segment
400 GROUNDCOVER PLANT,400 PALMS,4709,1481,12,1.9212670322994065,0
400 PALMS,400 GROUNDCOVER PLANT,1481,4709,12,1.9212670322994065,0
400 BORDERS HEDGING SCREENING,400 PALMS,3971,1481,12,2.2783295026688255,0
400 PALMS,400 BORDERS HEDGING SCREENING,1481,3971,12,2.2783295026688255,0
400 GROUNDCOVER PLANT,400 TROPICAL,4709,1366,14,2.4301824455646597,0
400 TROPICAL,400 GROUNDCOVER PLANT,1366,4709,14,2.4301824455646597,0
400 BORDERS HEDGING SCREENING,400 TROPICAL,3971,1366,15,3.087670198986577,0
400 TROPICAL,400 BORDERS HEDGING SCREENING,1366,3971,15,3.087670198986577,0
400 PALMS,400 TROPICAL,1481,1366,11,6.071236640195033,0
400 TROPICAL,400 PALMS,1366,1481,11,6.071236640195033,0
400 PLANTS OFF RANGE,400 BULBS,554,13364,13,1.960592577504952,1
400 BULBS,400 PLANTS OFF RANGE,13364,526,13,2.0649587223151014,1
400 PLANTS OFF RANGE,400 CACTI AND SUCCULENTS,554,13191,15,2.2918912550319424,1
400 CACTI AND SUCCULENTS,400 PLANTS OFF RANGE,13191,526,15,2.413893070889156,1
400 PLANTS OFF RANGE,400 CLIMBING PLANT,554,5153,10,3.911292780273803,1
400 CLIMBING PLANT,400 PLANTS OFF RANGE,5153,526,10,4.119498479603967,1
