sub_dept,transactions,exposure_pct
400 VEGETABLES,385770,34.556892970108386
400 ANNUAL FLOWERING,265669,23.79836482483273
400 FERTILISERS,240115,21.509262917068654
401 PLANT SUPPORT,224964,20.152051404016543
400 FUNCTIONAL POT,174923,15.669428387407699
400 PROPAGATION,161548,14.471309188208178
400 PERENNIAL FLOWERING,130635,11.70215338971436
400 GARDEN PEST CONTROL,119582,10.712036641396429
400 FRUIT AND CITRUS,107002,9.58513275160727
400 OUTDOOR PLANTER,102571,9.188208178025732
400 CLEANING CHEMICALS,102522,9.1838188067539
400 HERBS,95522,8.556765767920504
400 HOUSE PLANT,89438,8.011767098168736
400 LAWNCARE,85217,7.633654115752199
400 CLEANING ACCESSORIES,83420,7.4726806427831125
400 TREE AND SHRUB,82103,7.354705092476886
400 SEEDS,76681,6.869007724397648
401 GLOVES,76503,6.8530626614101715
400 PAINT PREPARATION,74002,6.629025568535553
400 SHADE PLANT,71236,6.381250039190816
401 PEBBLES AND STONE,59898,5.365603274291811
400 INDOOR DECORATIVE,57404,5.142193234456027
400 HOSE FITTINGS AND CONNECTS,56510,5.062109603496448
401 GARDEN DIGGING TOOL,51998,4.6579291304655515
401 BBQ ACCESSORIES,51894,4.648612913888598
400 PAINT APPLICATORS,51000,4.568529282929019
400 BRUSHWARE AND MOPS,49541,4.437833513835029
401 BATTERIES,47761,4.278382883960252
400 HOOKS,40363,3.6156774009189014
400 DOG CARE,34441,3.0851905300658493
400 WATERING HOSE,34382,3.0799053687385394
400 SCREWS,33211,2.9750083532422673
400 GRASSES AND STRAPPY LEAF,32973,2.9536885499219316
400 GARDEN SPRAYER,32921,2.949030441633455
400 PET FOOD,32828,2.940699594117526
401 GARDEN CUTTING TOOL,32297,2.8931331421717355
401 POWER USAGE ACCESSORIES,27694,2.4808009796360047
402 GLOBES,26856,2.4057337729870927
400 RECYCLED WATER,26349,2.3603172171744453
400 HANGING BASKET,26284,2.3544945818138494
400 SCREEN AND EDGE,25265,2.2632135751608167
400 BULBS,24619,2.205345537577049
400 FLYING PEST CONTROL,24414,2.1869818414397857
400 CACTI AND SUCCULENTS,24326,2.179098888951594
402 SOLAR LIGHTING,24186,2.1665578281749265
400 BUCKETS AND BASINS,22551,2.020096154104555
400 PAVER AND BRICK,22241,1.9923266623847902
400 CRAWLING PEST CONTROL,21629,1.937504310989642
401 GARDEN WIRE AND MESH,20859,1.8685284767179684
400 PAINT TAPES,18357,1.644401804837804
400 HANDHELD OPE ACC,18206,1.630875375000112
401 CABLE AND CONDUIT,18093,1.62075294737323
401 LAWN CARE HAND TOOLS,17135,1.5349362600586025
400 IRRIGATION FITTINGS,17000,1.522843094309673
400 SPRAY PAINT,16821,1.5068084523166474
400 NZ COLD DRINKS,16017,1.4347869318563546
402 MATS,15816,1.4167815517412814
401 PLASTIC TUBS LIGHT DUTY,15749,1.4107797583695905
401 STORAGE TUBS SPECIALISED,14877,1.332666865532059
402 FESTIVE LIGHTING,14670,1.3141240113837
400 WASTE AND RECYCLING,14096,1.2627056621993618
401 GARDEN ACCESSORIES,13439,1.2038522555545703
400 PAINT ABRASIVES,13126,1.1758140268181627
400 RODENT PEST CONTROL,13024,1.1666769682523048
400 DRY MIX,12708,1.1383700024992542
401 OUTDOOR DRYING,12343,1.1056736654743702
400 LOOSE NAIL,12033,1.0779041737546056
400 CRAFT AND PROJECTS,11616,1.0405497284412446
400 CAT CARE,11287,1.011078235616075
400 ROSE,10936,0.9796360046688577
400 DRILLING,10847,0.9716634731751189
401 CHAIN,10561,0.9460438775884974
401 OUTDOOR HEATING,10341,0.9263364963680193
400 FENCING TIMBER,10181,0.9120038554803988
401 CORDLESS 18V,10044,0.8997315317203738
400 INTERIOR BROADWALL PAINT,9764,0.8746494101670379
400 CLIMBING PLANT,9760,0.8742910941448474
401 WIRING ACCESSORIES,9618,0.8615708753570842
401 GATE HARDWARE,9584,0.858525189168465
400 ROPE,9547,0.8552107659632028
401 POOL N SPA WATER TREATMENT,9528,0.8535087648577978
400 OUTDOOR DECORATIVE,9455,0.846969497452821
400 MEASURING AND MARKNG TOOLS,9423,0.8441029692752968
400 AUTO CLEANING CHEMICALS,9210,0.8250226410936522
402 OUTDOOR HEATING,9201,0.8242164300437236
400 LANDSCAPING TIMBER,9190,0.8232310609826996
400 BOLTS NUTS AND WASHERS,9175,0.8218873758994851
400 AUTO MAINTENANCE,9163,0.8208124278329136
400 PIPE AND FITTINGS,9154,0.820006216782985
401 PPE,9080,0.8133773703724605
400 GROUNDCOVER PLANT,8935,0.8003884145680545
402 ENTERTAINMENT LIGHTING,8777,0.7862349316915294
400 PINE MOULDINGS,8641,0.7740521869370519
400 PLUMBING SUNDRY,8589,0.7693940786485753
400 BRACKETS,8354,0.7483430123448828
400 PLUMBING SPARES,8119,0.7272919460411902
400 TARPS,7913,0.7088386708983788
400 SPECIALITY FASTENER,7807,0.6993432963103303
401 MOISTURE ABSORBERS,7640,0.6843836023838765
400 VERTICAL GARDEN,7533,0.6747986487902803
400 BORDERS HEDGING SCREENING,7477,0.6697822244796131
400 LOAD RESTRAINTS,7443,0.6667365382909938
400 MOVING,7319,0.655628741603088
400 CLOTHES CARE,7230,0.6476562101093492
401 FOOTWEAR,7207,0.6455958929817537
401 BATHROOM ACCESSORIES,7023,0.62911335596099
400 EXTERIOR WOODCARE,6925,0.6203346134173225
400 WALL AND FLOOR ANCHORS,6779,0.6072560786073689
400 FIRE SAFETY,6689,0.5991939681080825
402 INDOOR SHELVING,6653,0.5959691239083679
BRANDED MERCHANDISE,6624,0.5933713327474865
400 METAL PAINT,6578,0.5892506984922958
400 SURFACE PROTECTION,6403,0.5735743725214608
400 EXTERIOR BROADWALL PAINT,6364,0.5700807913051034
401 CLOTHES HANGERS,6302,0.5645268929611506
400 KNIVES AND SHARPENING,6301,0.5644373139556028
401 LETTERBOX AND NUMERALS,6261,0.5608541537336977
400 PAINT PROTECTION,6256,0.5604062587059596
401 COMPOSTERS,6229,0.5579876255561736
400 CORDLESS 18V,5998,0.5372948752746717
401 CABINET HARDWARE,5901,0.5286057117365517
402 PADLOCKS AND CABLES,5783,0.5180353890819316
400 MOSQUITO CONTROL,5769,0.5167812830042648
401 POOL AND SPA,5716,0.5120335957102407
401 DECORATIVE STORAGE,5699,0.5105107526159309
400 AUTO CLEANING ACCESSORIES,5552,0.49734263880042967
400 INTERIOR PAINT,5501,0.4927741095175006
400 FURNITURE ACCESSORIES,5495,0.49223663548421487
402 ELECTRICAL COOLING,5454,0.48856389625676205
401 TV PHONE AUDIO VISUAL,5426,0.4860556841014285
400 POWER SANDING,5399,0.4836370509516426
400 FASTENING,5353,0.47951641669645173
400 FENCE AND TIMBER PAINT,5247,0.4700210421084031
401 BASKETS AND HAMPERS,4795,0.4295313316008753
402 EXTERIOR LIGHTING,4672,0.4185131139185171
400 OPE MAINTENANCE,4617,0.4135862686133976
400 BUILDERS CONNECTORS,4595,0.4116155304913498
401 GAS,4578,0.4100926873970402
401 INDOOR DRYING,4571,0.40946563435820676
402 LAMPS,4559,0.4083906862916352
403 DRAPERY FITTINGS,4553,0.4078532122583495
401 BATHROOM DECOR,4477,0.40104520783672976
401 OUTDOOR PLAY EQUIPMENT,4454,0.3989848907091343
400 CLMPNG AND GRIPPING TOOLS,4351,0.3897582531377286
400 MIX AND MATCH,4314,0.3864438299324664
400 WEATHER SEALS,4312,0.3862646719213711
401 SHADE CLOTH AND SAILS,4295,0.3847418288270614
401 APPAREL,4260,0.38160656363289447
400 EXTERIOR DECK FINISH,4253,0.3809795105940611
401 CRATES,4251,0.38080035258296585
402 OUTDOOR PLAY EQUIPMENT,4233,0.37918793048310856
400 STRIKNG AND WRECKNG TOOLS,4230,0.37891919346646563
400 GRINDING,4189,0.37524645423901287
400 FASTENING TOOLS,4100,0.36727392274527404
402 DOOR STOPS,3960,0.35473286196860615
400 GUTTERING AND SPOUTING,3955,0.35428496694086803
400 DOLLIES WHEELS AND CASTORS,3917,0.35088096473005814
400 UNDERCOAT,3898,0.3491789636246532
400 SAW AND SAW BLADES,3869,0.346581172463772
400 DRIVING TOOLS,3789,0.3394148520199618
400 SYNTHETIC TURF,3753,0.3361900078202472
400 PVC PIPE AND FITTINGS,3746,0.3355629547814138
400 VACUUMING,3703,0.33171105754286584
401 KEYING,3702,0.33162147853731816
401 BARBEQUES,3648,0.3267842122377463
400 PLASTER AND ACCESSORIES,3643,0.3263363172100081
401 SHOWERS AND SHOWER TAPS,3585,0.3211407348882457
400 ARTIFICIAL,3582,0.32087199787160287
400 PRESSURE CLEANERS,3574,0.3201553658272218
400 PLYWOOD,3567,0.31952831278838845
400 DRESSED PINE,3566,0.3194387337828408
401 DOOR KNOBS AND LEVERS,3545,0.3175575746663406
402 CARPETS,3536,0.31675136361641193
400 BIRD CARE,3534,0.3165722056053167
402 NIGHTLIGHTS,3511,0.31451188847772127
401 PLASTIC TUBS HEAVY DUTY,3481,0.31182451831129243
401 CABINET KNOBS AND HANDLES,3438,0.3079726210727444
400 WATERING SYSTEMS,3397,0.30429988184529166
400 INTERIOR WOODCARE,3360,0.30098545864002946
400 BLOW MOULD AND RESIN,3352,0.3002688265956484
401 DOOR HINGES,3291,0.29480450725724316
402 WINDOW HARDWARE,3268,0.2927441901296477
402 TORCHES AND SPOTLIGHTS,3220,0.28844439786336157
