cluster,sub_dept,transactions,exposure_pct
10,400 CLEANING CHEMICALS,10775,0.9652137847756898
10,401 PLUMBING TOOLS,233,0.02087190829259728
9,400 ANNUAL FLOWERING,3990,0.357420232135035
9,400 OUTDOOR PLANTER,617,0.05527024642288637
8,400 GARDEN PEST CONTROL,8434,0.755509332788693
8,400 GROWING MEDIA,7109,0.6368171504380862
8,400 SCREEN AND EDGE,405,0.03627949724678926
8,400 GRASSES AND STRAPPY LEAF,361,0.03233802100269364
8,400 HANGING BASKET,350,0.03135265194166973
7,400 FERTILISERS,5181,0.4641088277422597
7,401 GLOVES,4106,0.3678113967785598
7,400 RECYCLED WATER,726,0.06503435802757779
7,401 GARDEN ACCESSORIES,689,0.06171993482231556
7,401 CORDLESS 18V,615,0.05509108841179111
6,400 PAINT PREPARATION,9400,0.8420426521477015
6,400 UNDERCOAT,352,0.031531809952764986
6,400 MDF BOARDS,203,0.018184538126168447
5,400 PAINT APPLICATORS,4471,0.400507733803444
5,401 POWER USAGE ACCESSORIES,3377,0.3025083017343391
5,400 HOOKS,3178,0.2846820796303612
5,402 PADLOCKS AND CABLES,954,0.08545837129243693
5,400 ROPE,934,0.08366679118148439
5,400 CRAFT AND PROJECTS,926,0.08295015913710335
5,400 WALL AND FLOOR ANCHORS,729,0.06530309504422067
5,400 BRACKETS,685,0.06136161880012505
5,401 CABINET HARDWARE,681,0.06100330277793454
5,401 BATHROOM ACCESSORIES,680,0.060913723772386914
5,400 SURFACE PROTECTION,596,0.053389087306386175
4,400 BRUSHWARE AND MOPS,5371,0.481128838796309
4,401 POWER USAGE ACCESSORIES,3377,0.3025083017343391
4,400 ROPE,934,0.08366679118148439
4,400 CRAFT AND PROJECTS,904,0.08097942101505555
4,400 KNIVES AND SHARPENING,805,0.07211109946584039
4,401 TV PHONE AUDIO VISUAL,713,0.06386983095545863
4,401 BATHROOM ACCESSORIES,680,0.060913723772386914
4,401 KEYING,526,0.04711855691805223
4,401 DECORATIVE STORAGE,493,0.04416244973498051
4,402 NIGHTLIGHTS,430,0.03851897238547996
3,400 GROWING MEDIA,7109,0.6368171504380862
3,401 PLANT SUPPORT,3421,0.30644977797843476
3,401 GARDEN WIRE AND MESH,966,0.08653331935900846
3,401 PEBBLES AND STONE,628,0.05625561548391027
3,400 IRRIGATION FITTINGS,606,0.05428487736186245
3,400 SCREEN AND EDGE,405,0.03627949724678926
2,400 PAINT APPLICATORS,4471,0.400507733803444
2,402 GLOBES,3341,0.29928345753462454
2,400 CEILING LIGHTS,327,0.029292334814074297
2,402 LAMPS,311,0.02785907072531225
1,401 BBQ ACCESSORIES,4743,0.4248732233123987
1,401 BARBEQUES,233,0.02087190829259728
0,400 PAINT APPLICATORS,4471,0.400507733803444
0,400 PAINT PROTECTION,773,0.06924457128831629
0,400 WALL AND FLOOR ANCHORS,729,0.06530309504422067
0,400 INTERIOR BROADWALL PAINT,714,0.06395940996100626
0,400 EXTERIOR WOODCARE,682,0.06109288178348217
0,400 METAL PAINT,672,0.06019709172800589
0,400 GRINDING,607,0.05437445636741008
0,400 PLASTER AND ACCESSORIES,589,0.052762034267552785
0,400 POWER SANDING,568,0.05088087515105261
0,400 INTERIOR WOODCARE,514,0.0460436088514807
0,400 INTERIOR PAINT,458,0.04102718454081354
0,400 CUTTING,424,0.03798149835219419
0,400 EXTERIOR BROADWALL PAINT,380,0.03404002210809857
0,400 UNDERCOAT,362,0.03242760000824127
0,400 CEILING LIGHTS,315,0.02821738674750276
0,400 FENCE AND TIMBER PAINT,199,0.017826222103977937
