Macro-segment,sub_dept,transactions,exposure_pct
Cosmetic Replacement After Rodent Incidents,400 PAINT PREPARATION,9400,0.8420426521477015
Cosmetic Replacement After Rodent Incidents,400 GARDEN PEST CONTROL,8434,0.755509332788693
Cosmetic Replacement After Rodent Incidents,400 GROWING MEDIA,7109,0.6368171504380862
Cosmetic Replacement After Rodent Incidents,400 BRUSHWARE AND MOPS,5371,0.481128838796309
Cosmetic Replacement After Rodent Incidents,400 PROPAGATION,5344,0.47871020564652306
Cosmetic Replacement After Rodent Incidents,400 PRESSURE CLEANERS,263,0.023559278459026115
Cosmetic Replacement After Rodent Incidents,400 FENCE AND TIMBER PAINT,199,0.017826222103977937
Cosmetic Replacement After Rodent Incidents,402 DOWNLIGHTS,185,0.016572116026311146
Cosmetic Replacement After Rodent Incidents,401 GARDEN TRANSPORT,180,0.016124220998573007
Cosmetic Replacement After Rodent Incidents,401 SHADE CLOTH AND SAILS,165,0.01478053591535859
Cosmetic Replacement After Rodent Incidents,400 LAWN MOWERS,152,0.013616008843239427
Cosmetic Replacement After Rodent Incidents,402 ROOM FURNITURE,150,0.013436850832144171
Cosmetic Replacement After Rodent Incidents,400 ANIMAL CONTROL,148,0.013257692821048916
Cosmetic Replacement After Rodent Incidents,400 MASONRY TOOLS,142,0.012720218787763152
Cosmetic Replacement After Rodent Incidents,400 ROSE,134,0.012003586743382127
Cosmetic Replacement After Rodent Incidents,400 BUILDERS FILM AND ACCESS,131,0.011734849726739244
Cosmetic Replacement After Rodent Incidents,403 AIR TOOLS,130,0.011645270721191616
Cosmetic Replacement After Rodent Incidents,401 DOOR SECURITY,118,0.010570322654620082
Cosmetic Replacement After Rodent Incidents,400 CLIMBING PLANT,101,0.00904747956031041
Cosmetic Replacement After Rodent Incidents,400 COATING AND COMPOUNDS,99,0.008868321549215154
Garden Zones & Outdoor Pest Hygiene,400 CLEANING CHEMICALS,10775,0.9652137847756898
Garden Zones & Outdoor Pest Hygiene,400 PAINT PREPARATION,9400,0.8420426521477015
Garden Zones & Outdoor Pest Hygiene,400 PAINT PREPARATION,9400,0.8420426521477015
Garden Zones & Outdoor Pest Hygiene,400 GARDEN PEST CONTROL,8434,0.755509332788693
Garden Zones & Outdoor Pest Hygiene,400 CRAWLING PEST CONTROL,8106,0.7261274189690711
Garden Zones & Outdoor Pest Hygiene,400 GROWING MEDIA,7109,0.6368171504380862
Garden Zones & Outdoor Pest Hygiene,400 BRUSHWARE AND MOPS,5371,0.481128838796309
Garden Zones & Outdoor Pest Hygiene,400 PROPAGATION,5344,0.47871020564652306
Garden Zones & Outdoor Pest Hygiene,401 WORKSHOP VAC,264,0.023648857464573743
Garden Zones & Outdoor Pest Hygiene,401 METAL SECTIONS,253,0.02266348840354984
Garden Zones & Outdoor Pest Hygiene,401 DOOR ACCESSORIES,237,0.021230224314787792
Garden Zones & Outdoor Pest Hygiene,400 PRESSURE CLEANERS,233,0.02087190829259728
Garden Zones & Outdoor Pest Hygiene,401 INSECT SCREEN,225,0.02015527624821626
Garden Zones & Outdoor Pest Hygiene,400 FRAMING TIMBER,218,0.019528223209382863
Garden Zones & Outdoor Pest Hygiene,400 ORGANISERS,217,0.019438644203835235
Garden Zones & Outdoor Pest Hygiene,400 CORDED AC,211,0.01890117017054947
Garden Zones & Outdoor Pest Hygiene,400 FREESTANDING SHELVING,209,0.018722012159454213
Garden Zones & Outdoor Pest Hygiene,400 MDF BOARDS,203,0.018184538126168447
Garden Zones & Outdoor Pest Hygiene,400 GUTTER GUARD,188,0.01684085304295403
Garden Zones & Outdoor Pest Hygiene,402 KITCHEN ACCESSORIES,187,0.0167512740374064
Garden Zones & Outdoor Pest Hygiene,402 KITCHEN ACCESSORIES,187,0.0167512740374064
Garden Zones & Outdoor Pest Hygiene,402 TOOLBOXES,184,0.016482537020763518
Garden Zones & Outdoor Pest Hygiene,401 SHADE CLOTH AND SAILS,183,0.01639295801521589
Garden Zones & Outdoor Pest Hygiene,400 COLLATED FASTENER,177,0.01585548398193012
Garden Zones & Outdoor Pest Hygiene,403 RUGS,177,0.01585548398193012
