PRIMARY_ID,SECONDARY_ID,PRIMARY_TRANSACTIONS,SECONDARY_TRANSACTIONS,PAIR_TRANSACTIONS,LIFT,segment
400 PAINT APPLICATORS,400 WALL AND FLOOR ANCHORS,4471,729,22,1.0358098018659496,0
400 PAINT PROTECTION,400 PAINT APPLICATORS,773,4471,24,1.0656549625688965,0
400 PAINT APPLICATORS,400 PAINT PROTECTION,4471,734,24,1.122276956492857,0
400 GRINDING,400 PAINT APPLICATORS,607,4471,20,1.1309051154115282,0
400 INTERIOR BROADWALL PAINT,400 PAINT APPLICATORS,714,4471,24,1.1537132858063823,0
400 METAL PAINT,400 PAINT APPLICATORS,672,4471,23,1.1747445175788949,0
400 PAINT APPLICATORS,400 METAL PAINT,4471,672,23,1.1747445175788949,0
400 PAINT APPLICATORS,400 GRINDING,4471,577,20,1.1897043415161137,0
400 EXTERIOR WOODCARE,400 PAINT APPLICATORS,682,4471,24,1.2078464605069752,0
400 PAINT APPLICATORS,400 EXTERIOR WOODCARE,4471,682,24,1.2078464605069752,0
400 PAINT APPLICATORS,400 INTERIOR BROADWALL PAINT,4471,645,24,1.277133776846135,0
400 PAINT APPLICATORS,400 POWER SANDING,4471,568,22,1.3294108196483754,0
400 POWER SANDING,400 PAINT APPLICATORS,568,4471,22,1.3294108196483754,0
400 PLASTER AND ACCESSORIES,400 PAINT APPLICATORS,589,4471,24,1.3985590595343924,0
400 PAINT APPLICATORS,400 PLASTER AND ACCESSORIES,4471,556,24,1.4815670612693475,0
400 INTERIOR WOODCARE,400 PAINT APPLICATORS,514,4471,23,1.5358527545000336,0
400 PAINT APPLICATORS,400 INTERIOR WOODCARE,4471,494,23,1.5980330279615733,0
400 CUTTING,400 PAINT APPLICATORS,424,4471,20,1.6190080307896169,0
400 PAINT APPLICATORS,400 CUTTING,4471,424,20,1.6190080307896169,0
400 INTERIOR PAINT,400 PAINT APPLICATORS,458,4471,23,1.7104786889601007,0
400 PAINT APPLICATORS,400 INTERIOR PAINT,4471,458,23,1.7236426109454523,0
400 EXTERIOR BROADWALL PAINT,400 PAINT APPLICATORS,380,4471,23,2.0774429363500455,0
400 PAINT APPLICATORS,400 EXTERIOR BROADWALL PAINT,4471,380,23,2.0774429363500455,0
400 PAINT APPLICATORS,400 CEILING LIGHTS,4471,315,20,2.179236206523167,0
400 UNDERCOAT,400 PAINT APPLICATORS,362,4471,24,2.2755560388556826,0
400 PAINT APPLICATORS,400 UNDERCOAT,4471,352,24,2.3402025172322647,0
400 FENCE AND TIMBER PAINT,400 PAINT APPLICATORS,199,4471,23,3.966976461371946,0
400 PAINT APPLICATORS,400 FENCE AND TIMBER PAINT,4471,172,23,4.589699510540798,0
401 BARBEQUES,401 BBQ ACCESSORIES,233,4743,22,3.0410480681266,1
401 BBQ ACCESSORIES,401 BARBEQUES,4743,207,22,3.438656102407718,1
400 CEILING LIGHTS,400 PAINT APPLICATORS,327,4471,20,2.099264235641583,2
400 CEILING LIGHTS,402 GLOBES,327,3341,20,2.8092817711923126,2
402 GLOBES,400 CEILING LIGHTS,3341,315,20,2.916302029142496,2
402 LAMPS,402 GLOBES,311,3341,20,2.9258236602438186,2
402 GLOBES,402 LAMPS,3341,308,20,2.9825816207139164,2
401 GARDEN WIRE AND MESH,401 PLANT SUPPORT,966,3421,22,1.0216026575595987,3
401 PLANT SUPPORT,401 GARDEN WIRE AND MESH,3421,966,22,1.0216026575595987,3
400 SCREEN AND EDGE,400 GROWING MEDIA,405,7109,21,1.1192968745929783,3
400 IRRIGATION FITTINGS,401 PLANT SUPPORT,606,3421,21,1.554472810625114,3
401 PLANT SUPPORT,400 IRRIGATION FITTINGS,3421,606,21,1.554472810625114,3
401 PEBBLES AND STONE,401 PLANT SUPPORT,628,3421,23,1.6428754954877798,3
401 PLANT SUPPORT,401 PEBBLES AND STONE,3421,617,23,1.672165009994045,3
400 SCREEN AND EDGE,401 PLANT SUPPORT,405,3421,21,2.325951909231652,3
401 PLANT SUPPORT,400 SCREEN AND EDGE,3421,405,21,2.325951909231652,3
