sub_dept,transactions,exposure_pct
400 CLEANING CHEMICALS,10775,7.027739187717273
400 PAINT PREPARATION,9400,6.130927922463329
400 CLEANING ACCESSORIES,8794,5.735678739376863
400 GARDEN PEST CONTROL,8434,5.500877244474012
400 CRAWLING PEST CONTROL,8106,5.286946993562526
400 GROWING MEDIA,7109,4.636677297956575
400 FLYING PEST CONTROL,5912,3.8559623274045953
401 BATTERIES,5672,3.6994279974693614
400 BRUSHWARE AND MOPS,5371,3.5031078586755893
400 PROPAGATION,5344,3.485497746557875
400 VEGETABLES,5196,3.3889682430978145
400 FERTILISERS,5181,3.379184847476862
401 BBQ ACCESSORIES,4743,3.0935096953450603
400 PAINT APPLICATORS,4471,2.916104121418462
401 GLOVES,4106,2.6780414946419606
400 ANNUAL FLOWERING,3990,2.602383235173264
401 PLANT SUPPORT,3421,2.2312664279518133
401 POWER USAGE ACCESSORIES,3377,2.2025684674636876
402 GLOBES,3341,2.1790883179734024
400 HOOKS,3178,2.0727754188923893
400 SCREWS,3151,2.055165306774675
400 HOSE FITTINGS AND CONNECTS,3097,2.0199450825392478
400 LAWNCARE,2801,1.826886075619126
400 GARDEN SPRAYER,2548,1.6618728028124004
400 DOG CARE,2534,1.6527416335661782
400 PAINT TAPES,2411,1.5725177894743707
401 OUTDOOR HEATING,2374,1.5483854136093556
400 PET FOOD,2304,1.5027295673782457
400 WASTE AND RECYCLING,2000,1.3044527494602827
401 CABLE AND CONDUIT,1943,1.2672758461006648
400 BUCKETS AND BASINS,1892,1.2340123009894275
400 HANDHELD OPE ACC,1840,1.20009652950346
401 PLASTIC TUBS LIGHT DUTY,1836,1.1974876240045396
401 GARDEN CUTTING TOOL,1715,1.1185682326621924
400 HOUSE PLANT,1654,1.0787824238036539
400 WATERING HOSE,1617,1.0546500479386385
400 DRILLING,1514,0.9874707313414339
400 FUNCTIONAL POT,1476,0.9626861291016886
401 MOISTURE ABSORBERS,1443,0.9411626587355939
400 AUTO MAINTENANCE,1432,0.9339881686135624
401 GARDEN DIGGING TOOL,1425,0.9294225839904514
400 PAINT ABRASIVES,1408,0.918334735620039
401 WIRING ACCESSORIES,1393,0.9085513399990869
402 MATS,1376,0.8974634916286744
400 PIPE AND FITTINGS,1318,0.8596343618943262
400 NZ COLD DRINKS,1315,0.8576776827701358
400 MEASURING AND MARKNG TOOLS,1285,0.8381108915282317
400 FRUIT AND CITRUS,1275,0.8315886277809301
400 HERBS,1257,0.8198485530357876
401 CHAIN,1211,0.7898461397982011
400 PERENNIAL FLOWERING,1205,0.7859327815498203
402 SOLAR LIGHTING,1202,0.7839761024256299
400 SPRAY PAINT,1193,0.7781060650530586
400 PLUMBING SUNDRY,1188,0.774844933179408
400 SHADE PLANT,1156,0.7539736891880434
400 PINE MOULDINGS,1155,0.7533214628133132
400 FIRE SAFETY,1136,0.7409291616934406
401 GATE HARDWARE,1116,0.7278846341988378
401 PPE,1111,0.724623502325187
400 PLUMBING SPARES,1109,0.7233190495757267
401 OUTDOOR DRYING,1077,0.7024478055843622
400 WEATHER SEALS,1056,0.6887510517150293
400 AUTO CLEANING CHEMICALS,1027,0.6698364868478551
400 TREE AND SHRUB,1006,0.6561397329785221
400 LOAD RESTRAINTS,1000,0.6522263747301413
400 LOOSE NAIL,978,0.6378773944860783
400 BOLTS NUTS AND WASHERS,967,0.6307029043640466
401 GARDEN WIRE AND MESH,966,0.6300506779893166
402 PADLOCKS AND CABLES,954,0.6222239614925548
401 POOL N SPA WATER TREATMENT,937,0.6111361131221424
400 ROPE,934,0.609179433997952
401 LAWN CARE HAND TOOLS,933,0.6085272076232219
400 CRAFT AND PROJECTS,926,0.6039616230001109
400 TARPS,913,0.595482680128619
401 CLOTHES HANGERS,912,0.5948304537538889
401 FOOTWEAR,911,0.5941782273791588
401 STORAGE TUBS SPECIALISED,885,0.5772203416361751
400 FASTENING,860,0.5609146822679215
400 SPECIALITY FASTENER,853,0.5563490976448106
BRANDED MERCHANDISE,813,0.5302600426556049
400 KNIVES AND SHARPENING,805,0.5250422316577638
400 MOVING,798,0.5204766470346528
400 INDOOR DECORATIVE,787,0.5133021569126212
400 DRY MIX,782,0.5100410250389705
400 PAINT PROTECTION,773,0.5041709876663992
401 APPAREL,737,0.48069083817611413
400 WALL AND FLOOR ANCHORS,729,0.47547302717827306
400 RECYCLED WATER,726,0.47351634805408266
400 INTERIOR BROADWALL PAINT,714,0.4656896315573209
401 TV PHONE AUDIO VISUAL,713,0.4650374051825908
402 EXTERIOR LIGHTING,709,0.46242849968367017
400 BULBS,707,0.4611240469342099
400 HOUSEHOLD PEST CONTROL,707,0.4611240469342099
400 AUTO CLEANING ACCESSORIES,694,0.45264510406271813
