ITEM_CLASS_NAME,DEMOGRAPHIC_SEGMENT,HAS_PETS,TRADE_REGION_CODE,SEGMENT_SALES,SEGMENT_SALES_SHARE,SALES_INDEX
500 RODENT POISON,Homeowner older kids,false,Metro,88696.77,0.013458520645,0.162432636151
500 RODENT POISON,Homeowner older kids,false,Regional,12274.66,0.001862511623,0.022478895026
500 RODENT POISON,Homeowner older kids,true,Metro,281630.39,0.042733556342,0.515756849643
500 RODENT POISON,Homeowner older kids,true,Regional,123505.33,0.018740243118,0.226178431646
500 RODENT POISON,Homeowner older kids,unknown,Metro,4261.5,0.000646624288,0.007804192635
500 RODENT POISON,Homeowner older kids,unknown,Regional,1483.33,0.000225075022,0.002716459715
500 RODENT POISON,Homeowner younger kids,false,Metro,193813.08,0.029408481712,0.18524808223
500 RODENT POISON,Homeowner younger kids,false,Regional,25728.0,0.0039038718,0.024591026878
500 RODENT POISON,Homeowner younger kids,true,Metro,430297.49,0.065291753609,0.411281760818
500 RODENT POISON,Homeowner younger kids,true,Regional,220327.74,0.033431718398,0.210591004987
500 RODENT POISON,Homeowner younger kids,unknown,Metro,5610.27,0.000851281671,0.005362340652
500 RODENT POISON,Homeowner younger kids,unknown,Regional,1633.17,0.00024781119,0.001560996863
500 RODENT POISON,Older homeowner,false,Metro,1329322.91,0.201706554008,0.396582550085
500 RODENT POISON,Older homeowner,false,Regional,371283.16,0.0563371369,0.110766482161
500 RODENT POISON,Older homeowner,true,Metro,1384377.02,0.210060261545,0.413007076566
500 RODENT POISON,Older homeowner,true,Regional,707057.82,0.107286345013,0.210939562692
500 RODENT POISON,Older homeowner,unknown,Metro,38969.05,0.005913019876,0.011625802209
500 RODENT POISON,Older homeowner,unknown,Regional,12714.53,0.001929255874,0.003793179741
500 RODENT POISON,Renter no kids,false,Metro,106577.02,0.016171603813,0.249723582997
500 RODENT POISON,Renter no kids,false,Regional,27609.0,0.0041892878,0.064691416616
500 RODENT POISON,Renter no kids,true,Metro,83258.81,0.012633384657,0.195086035894
500 RODENT POISON,Renter no kids,true,Regional,63326.54,0.009608935545,0.148382179086
500 RODENT POISON,Renter no kids,unknown,Metro,21613.18,0.003279504194,0.050642443832
500 RODENT POISON,Renter no kids,unknown,Regional,7631.77,0.001158016623,0.017882212773
500 RODENT POISON,Renter with kids,false,Metro,91135.22,0.013828522052,0.227799486265
500 RODENT POISON,Renter with kids,false,Regional,18399.51,0.002791873765,0.045990989275
500 RODENT POISON,Renter with kids,true,Metro,88292.29,0.013397146342,0.22069336424
500 RODENT POISON,Renter with kids,true,Regional,63735.02,0.009670916793,0.159310580616
500 RODENT POISON,Renter with kids,unknown,Metro,14690.62,0.00222910048,0.036720333689
500 RODENT POISON,Renter with kids,unknown,Regional,4329.11,0.00065688318,0.010820943148
500 RODENT POISON,Unclassifiable,false,Metro,20187.73,0.00306321167,0.352774523931
500 RODENT POISON,Unclassifiable,false,Regional,3832.9,0.000581590105,0.066978777348
500 RODENT POISON,Unclassifiable,true,Metro,26747.21,0.004058522965,0.467399468624
500 RODENT POISON,Unclassifiable,true,Regional,11449.16,0.001737253298,0.20007063539
500 RODENT POISON,Unclassifiable,unknown,Metro,1865.69,0.000283092917,0.032602372863
500 RODENT POISON,Unclassifiable,unknown,Regional,588.12,8.9239159e-05,0.01027722052
500 RODENT POISON,Younger homeowner,false,Metro,146369.58,0.022209580059,0.192067378714
500 RODENT POISON,Younger homeowner,false,Regional,23863.94,0.003621026213,0.031314460298
500 RODENT POISON,Younger homeowner,true,Metro,351967.88,0.053406307574,0.461855175798
500 RODENT POISON,Younger homeowner,true,Regional,172052.12,0.026106553926,0.225768221034
500 RODENT POISON,Younger homeowner,unknown,Metro,5920.06,0.000898288063,0.007768351906
500 RODENT POISON,Younger homeowner,unknown,Regional,1951.65,0.000296136171,0.002560971345
500 RODENT REPELLENT,Homeowner older kids,false,Metro,11714.12,0.014395118028,0.173736551785
500 RODENT REPELLENT,Homeowner older kids,false,Regional,1335.24,0.001640834941,0.019803450319
500 RODENT REPELLENT,Homeowner older kids,true,Metro,35778.19,0.043966705812,0.530639890986
500 RODENT REPELLENT,Homeowner older kids,true,Regional,13207.59,0.016230396899,0.195886771185
500 RODENT REPELLENT,Homeowner older kids,unknown,Metro,1402.9,0.001723980212,0.020806941409
500 RODENT REPELLENT,Homeowner older kids,unknown,Regional,344.35,0.000423161014,0.005107185317
500 RODENT REPELLENT,Homeowner younger kids,false,Metro,31888.85,0.039187216755,0.246845682918
500 RODENT REPELLENT,Homeowner younger kids,false,Regional,3191.76,0.003922254674,0.024706823137
500 RODENT REPELLENT,Homeowner younger kids,true,Metro,61992.5,0.076180656709,0.479872463208
500 RODENT REPELLENT,Homeowner younger kids,true,Regional,27602.64,0.033920026489,0.213666924998
500 RODENT REPELLENT,Homeowner younger kids,unknown,Metro,1142.37,0.001403822992,0.008842874637
500 RODENT REPELLENT,Homeowner younger kids,unknown,Regional,190.33,0.000233890622,0.001473309285
500 RODENT REPELLENT,Older homeowner,false,Metro,116357.36,0.142987943665,0.281133766867
500 RODENT REPELLENT,Older homeowner,false,Regional,35612.84,0.043763512335,0.086045024208
500 RODENT REPELLENT,Older homeowner,true,Metro,150657.42,0.185138221456,0.3640069523
500 RODENT REPELLENT,Older homeowner,true,Regional,74961.54,0.092117906926,0.181116348038
