PRIMARY_ID,SECONDARY_ID,PRIMARY_TRANSACTIONS,SECONDARY_TRANSACTIONS,PAIR_TRANSACTIONS,JACCARD,segment
500 STRUCTURAL FRAMING H3 2 KD,500 FASCIA,13,11,4,0.2,0
500 STRUCTURAL FRAMING H3 2 KD,PALLETS NZ C,13,11,4,0.2,0
500 FIBRE CEMENT EAVE LINING,500 FASCIA,12,11,4,0.21052631578947364,0
500 FASCIA,500 STRUCTURAL FRAMING H3 2 KD,11,12,4,0.21052631578947367,0
500 SHEETING NAILS,500 FIBRE CEMENT EAVE LINING,6,11,3,0.21428571428571425,0
500 FIBRE CEMENT EAVE LINING,500 SHEETING NAILS,12,5,3,0.21428571428571427,0
PALLETS NZ C,500 FIBRE CEMENT WEATHERBRD,12,5,3,0.2142857142857143,0
500 FASCIA,500 FIBRE CEMENT EAVE LINING,11,11,4,0.2222222222222222,0
500 FIBRE CEMENT WEATHERBRD,PALLETS NZ C,5,11,3,0.23076923076923078,0
500 FASCIA,500 TIMBER WEATHERBOARDS,11,10,4,0.23529411764705876,0
500 FIBRE CEMENT EAVE LINING,500 FIBRE CEMENT SHEETING ACC,12,20,7,0.2800000000000001,0
500 FIBRE CEMENT WEATHERBRD,500 PAINT SILICONES,5,7,3,0.3333333333333333,0
500 PAINT SILICONES,500 FIBRE CEMENT WEATHERBRD,7,5,3,0.3333333333333333,0
500 BULLET HEAD,500 TIMBER WEATHERBOARDS,7,10,3,0.2142857142857143,1
500 FLAT HEAD,500 BUILDING BRACKETS,6,11,3,0.2142857142857143,1
500 TIMBER WEATHERBOARDS,500 BULLET HEAD,10,6,3,0.23076923076923073,1
500 TIMBER WEATHERBOARDS,500 FLAT HEAD,10,6,3,0.23076923076923073,1
500 FLAT HEAD,500 TIMBER WEATHERBOARDS,6,10,3,0.23076923076923075,1
500 TIMBER WEATHERBOARDS,500 FASCIA,10,11,4,0.23529411764705876,1
500 BULLET HEAD,500 WEATHERBOARDS,7,13,4,0.24999999999999997,1
500 BULLET HEAD,500 FLAT HEAD,7,6,3,0.3,1
500 FLAT HEAD,500 BULLET HEAD,6,6,3,0.3333333333333333,1
500 BRICK TIES,500 FLAT HEAD,3,6,3,0.5,1
500 FLAT HEAD,500 BRICK TIES,6,3,3,0.5,1
500 BUILDING BRACKETS,500 FLAT HEAD,11,6,3,0.21428571428571427,2
500 BUILDING BRACKETS,500 CONNECTORS,11,27,7,0.22580645161290322,2
500 CONNECTORS,500 BUILDING BRACKETS,27,11,7,0.22580645161290322,2
